
					I Sử Ký 1				|
						歷代志上 1					
A-đam sanh Sết, Sết sanh Ê-nót;|亞 當 生 塞 特 、 塞 特 生 以 挪 士 、
Ê-nót sanh Kê-nan, Kê-nan sanh Ma-ha-la-le, Ma-ha-la-le sanh Giê-rệt;|以 挪 士 生 該 南 、 該 南 生 瑪 勒 列 、 瑪 勒 列 生 雅 列 、
Giê-rệt sanh Hê-nóc, Hê-nóc sanh Mê-tu-sê-la, Mê-tu-sê-la sanh Lê-méc;|雅 列 生 以 諾 、 以 諾 生 瑪 土 撒 拉 、 瑪 土 撒 拉 生 拉 麥 、
Lê-méc sanh Nô-ê, Nô-ê sanh Sem, Cham và Gia-phết.|拉 麥 生 挪 亞 、 挪 亞 生 閃 、 含 、 雅 弗 。
Con trai của Gia-phết là Gô-me, Ma-gốc, Ma-đai, Gia-van, Tu-banh, Mê-siếc, và Ti-ra.|雅 弗 的 兒 子 是 歌 篾 、 瑪 各 、 瑪 代 、 雅 完 、 土 巴 、 米 設 、 提 拉 。
Con trai của Gô-me là Ach-kê-na, Đi-phát, và Tô-ga-ma.|歌 篾 的 兒 子 是 亞 實 基 拿 、 低 法 〔 低 法 在 創 世 記 十 章 三 節 作 利 法 〕 、 陀 迦 瑪 。
Con trai của Gia-van là Ê-li-sa, Ta-rê-si, Kít-tim, và Rô-đa-nim.|雅 完 的 兒 子 是 以 利 沙 、 他 施 、 基 提 、 多 單 。 〔 多 單 有 作 羅 單 的 〕
Con trai của Cham là Cúc, Mích-ra-im, Phút, và Ca-na-an.|含 的 兒 子 是 古 實 、 麥 西 、 弗 、 迦 南 。
con trai của Cúc là Sê-ba, Ha-vi-la, Sáp-ta, Ra-ê-ma là Sê-ba, và Đê-đan.|古 實 的 兒 子 是 西 巴 、 哈 腓 拉 、 撒 弗 他 、 拉 瑪 、 撒 弗 提 迦 。 拉 瑪 的 兒 子 是 示 巴 、 底 但 。
Cúc sinh Nim-rốt; người khởi đầu làm anh hùng trên mặt đất.|古 實 生 寧 錄 ． 他 為 世 上 英 雄 之 首 。
Mích-ra-im sinh họ Lu-đim, họ A-na-min, họ Lê-ha-bim, họ Náp-tu-him,|麥 西 生 路 低 人 、 亞 拿 米 人 、 利 哈 比 人 、 拿 弗 土 希 人 、
họ Phát-ru-sim, họ Cách-lu-him, bởi đó sanh ra họ Phi-li-tin, và họ Cáp-tô-rim.|帕 斯 魯 細 人 、 迦 斯 路 希 人 、 迦 斐 託 人 ． 從 迦 斐 託 出 來 的 有 非 利 士 人 。
Ca-na-an sanh ra Si-đôn, là trưởng nam, và Hếch,|迦 南 生 長 子 西 頓 、 又 生 赫 、
cùng họ Gie-bu-sít, họ A-mô-rít, họ Ghi-rê-ga-sít,|和 耶 布 斯 人 、 亞 摩 利 人 、 革 迦 撒 人 、
họ Hê-vít, họ A-rê-kít, họ Si-nít,|希 未 人 、 亞 基 人 、 西 尼 人 、
họ A-va-đít, họ Xê-ma-rít, và họ Ha-ma-tít.|亞 瓦 底 人 、 洗 瑪 利 人 、 並 哈 馬 人 。
con trai của Sem là Ê-lam, A-su-rơ, A-các-sát, Lút, A-ram, Ut-xơ, Hu-lơ, Ghê-te, và Mê-siếc.|閃 的 兒 子 是 以 攔 、 亞 述 、 亞 法 撒 、 路 德 、 亞 蘭 、 烏 斯 、 戶 勒 、 基 帖 、 米 設 。 〔 米 設 在 創 世 記 十 章 二 十 三 節 作 瑪 施 〕
A-bác-sát sanh Sê-lách; Sê-lách sanh Hê-be.|亞 法 撒 生 沙 拉 、 沙 拉 生 希 伯 。
