
					Ma-thi-ơ 1				|
						馬太福音 1					
Gia phổ Đức Chúa Jêsus Christ, con cháu Đa-vít và con cháu Ap-ra-ham.|亞 伯 拉 罕 的 後 裔 、 大 衛 的 子 孫 、 耶 穌 基 督 的 家 譜 ． 〔 後 裔 子 孫 原 文 都 作 兒 子 下 同 〕
Ap-ra-ham sanh Y-sác; Y-sác sanh Gia-cốp; Gia-cốp sanh Giu-đa và anh em người.|亞 伯 拉 罕 生 以 撒 ． 以 撒 生 雅 各 ． 雅 各 生 猶 大 和 他 的 弟 兄 ．
Giu-đa bởi Tha-ma sanh Pha-rê và Xa-ra. Pha-rê sanh Ech-rôm; Ech-rôm sanh A-ram;|猶 大 從 他 瑪 氏 生 法 勒 斯 和 謝 拉 ． 法 勒 斯 生 希 斯 崙 ． 希 斯 崙 生 亞 蘭 ．
A-ram sanh A-mi-na-đáp; A-mi-na-đáp sanh Na-ách-son; Na-ách-son sanh Sanh-môn.|亞 蘭 生 亞 米 拿 達 ． 亞 米 拿 達 生 拿 順 ． 拿 順 生 撒 門 ．
Sanh-môn bởi Ra-háp sanh Bô-ô. Bô-ô bởi Ru-tơ sanh Ô-bết. Ô-bết sanh Gie-sê;|撒 門 從 喇 合 氏 生 波 阿 斯 ． 波 阿 斯 從 路 得 氏 生 俄 備 得 ． 俄 備 得 生 耶 西 ．
Gie-sê sanh vua Đa-vít. Đa-vít bởi vợ của U-ri sanh Sa-lô-môn.|耶 西 生 大 衛 王 。 大 衛 從 烏 利 亞 的 妻 子 生 所 羅 門 ．
Sa-lô-môn sanh Rô-bô-am; Rô-bô-am sanh A-bi-gia; A-bi-gia sanh A-sa;|所 羅 門 生 羅 波 安 ． 羅 波 安 生 亞 比 雅 ． 亞 比 雅 生 亞 撒 ．
A-sa sanh Giô-sa-phát; Giô-sa-phát sanh Giô-ram; Giô-ram sanh Ô-xia.|亞 撒 生 約 沙 法 ． 約 沙 法 生 約 蘭 ． 約 蘭 生 烏 西 亞 ．
Ô-xia sanh Giô-tam; Giô-tam sanh A-cha; A-cha sanh Ê-xê-chia.|烏 西 亞 生 約 坦 ． 約 坦 生 亞 哈 斯 ． 亞 哈 斯 生 希 西 家 ．
Ê-xê-chia sanh Ma-na-sê; Ma-na-sê sanh A-môn; A-môn sanh Giô-si -a.|希 西 家 生 瑪 拿 西 ． 瑪 拿 西 生 亞 們 ． 亞 們 生 約 西 亞 ．
Giô-si -a đang khi bị đày qua nước Ba-by-lôn sanh Giê-chô-nia và anh em người.|百 姓 被 遷 到 巴 比 倫 的 時 候 、 約 西 亞 生 耶 哥 尼 雅 和 他 的 弟 兄 。
Khi đã bị đày qua nước Ba-by-lôn, thì Giê-chô-nia sanh Sa-la-thi-ên; Sa-la-thi-ên sanh Xô-rô-ba-bên;|遷 到 巴 比 倫 之 後 、 耶 哥 尼 雅 生 撒 拉 鐵 ． 撒 拉 鐵 生 所 羅 巴 伯 ．
Xô-rô-ba-bên sanh A-bi-út; A-bi-út sanh Ê-li -a-kim; Ê-li -a-kim sanh A-xô.|所 羅 巴 伯 生 亞 比 玉 ． 亞 比 玉 生 以 利 亞 敬 ． 以 利 亞 敬 生 亞 所 ．
A-xô sanh Sa-đốc; Sa-đốc sanh A-chim; A-chim sanh Ê-li-út;|亞 所 生 撒 督 ． 撒 督 生 亞 金 ． 亞 金 生 以 律 ．
Ê-li-út sanh Ê-lê -a-xa; Ê-lê -a-xa sanh Ma-than; Ma-than sanh Gia-cốp;|以 律 生 以 利 亞 撒 ． 以 利 亞 撒 生 馬 但 ． 馬 但 生 雅 各 ．
Gia-cốp sanh Giô-sép là chồng Ma-ri; Ma-ri là người sanh Đức Chúa Jêsus, gọi là Christ.|雅 各 生 約 瑟 、 就 是 馬 利 亞 的 丈 夫 ． 那 稱 為 基 督 的 耶 穌 、 是 從 馬 利 亞 生 的 。
